ncessch,free_lunch_qualified,reduced_price_lunch_qualified,missing,not_applicable,no_category_codes,n
410723001307,26,0,0,0,26,NA
410723001308,21,6,0,0,27,378
410723001378,58,6,0,0,64,589
410728000514,19,1,0,0,20,NA
410728000517,169,28,0,0,197,408
410728000519,88,20,0,0,108,144
410728000689,43,9,0,0,52,201
410738000682,193,20,0,0,213,332
410738000684,205,28,0,0,233,294
410738000696,124,22,0,0,146,408
410738000710,89,21,0,0,110,284
410738000714,313,36,0,0,349,1205
410738000730,488,64,0,0,552,515
410738004184,214,22,0,0,236,420
410738004185,190,27,0,0,217,426
410738004186,137,24,0,0,161,338
410750000646,274,28,0,0,302,444
410750000651,198,25,0,0,223,NA
410750000653,226,0,0,0,226,NA
410750000655,342,58,0,0,400,923
410750000657,203,32,0,0,235,362
410750000658,46,4,0,0,50,157
410750000660,248,21,0,0,269,875
410750000661,226,25,0,0,251,727
410750000663,285,39,0,0,324,NA
410750000665,241,47,0,0,288,7
410750000666,106,16,0,0,122,NA
410750000667,92,8,0,0,100,82
410750000984,134,26,0,0,160,311
410750001334,51,8,0,0,59,199
410750001493,0,0,0,0,0,NA
410750001582,83,17,0,0,100,216
410750001590,100,6,0,0,106,129
410750001660,0,0,0,0,0,15
410753000360,16,0,0,0,16,16
410759000633,124,17,0,0,141,206
410759000634,89,14,0,0,103,148
410759001834,28,10,0,0,38,84
410759001846,0,0,0,0,0,228
410771000602,51,6,0,0,57,82
410771000603,49,6,0,0,55,76
410774000638,56,16,0,0,72,141
410774000639,52,9,0,0,61,46
410798000628,103,2,0,0,105,167
410798000629,46,1,0,0,47,30
410801000540,342,44,0,0,386,1445
410801001279,283,29,0,0,312,526
410801001281,248,22,0,0,270,613
410801001282,318,17,0,0,335,531
410801001283,434,77,0,0,511,1509
410801001284,878,116,0,0,994,982
410801001310,236,40,0,0,276,412
410801001433,320,36,0,0,356,577
410801001752,347,31,0,0,378,493
410804000428,219,37,0,0,256,646
410804000429,165,20,0,0,185,861
410804000430,331,40,0,0,371,501
410804000431,368,19,0,0,387,468
410804000432,122,9,0,0,131,492
410804000433,370,38,0,0,408,524
410804000434,168,41,0,0,209,643
410804000435,342,43,0,0,385,564
410804000436,296,39,0,0,335,580
410804000437,286,18,0,0,304,436
410804000438,83,16,0,0,99,284
410804000439,326,31,0,0,357,471
410804000441,396,38,0,0,434,612
410804000442,367,46,0,0,413,1848
410804000443,435,63,0,0,498,1592
410804000444,675,130,0,0,805,728
410804000445,629,82,0,0,711,716
410804000963,159,35,0,0,194,610
410804001736,54,3,0,0,57,238
410804001796,0,0,0,0,0,928
410804001829,268,38,0,0,306,482
410804001843,10,1,0,0,11,70
410804004187,166,15,0,0,181,55
410810000722,143,17,0,0,160,339
410810000724,121,14,0,0,135,253
410810001680,0,0,0,0,0,3144
410816001116,261,57,0,0,318,819
410816001123,288,60,0,0,348,226
410816001836,182,42,0,0,224,238
410816001837,159,26,0,0,185,NA
410816001842,198,37,0,0,235,568
410828001259,19,3,0,0,22,NA
410828001813,0,0,0,0,0,235
410831000101,41,10,0,0,51,NA
410831000102,207,48,0,0,255,972
410831000129,87,15,0,0,102,164
410831000136,83,16,0,0,99,125
410831000151,215,50,0,0,265,369
410831001325,226,44,0,0,270,411
410831001789,15,12,0,0,27,NA
410831001800,0,0,0,0,0,NA
410843000027,122,28,0,0,150,324
410843000050,48,9,0,0,57,60
410846000356,24,6,0,0,30,NA
410852000858,158,50,0,0,208,166
410852000859,67,15,0,0,82,162
410852000861,45,18,0,0,63,158
410852000863,286,41,0,0,327,371
410852001311,249,44,0,0,293,170
410852001312,236,38,0,0,274,328
410852001597,183,32,0,0,215,495
410852001598,153,20,0,0,173,408
410855000837,84,18,0,0,102,342
410855000838,179,30,0,0,209,385
410855000839,98,27,0,0,125,76
410865001078,94,11,0,0,105,188
410865001080,74,15,0,0,89,198
410865001081,85,7,0,0,92,102
410865001656,80,16,0,0,96,380
410870001077,127,36,0,0,163,256
410870001082,102,44,0,0,146,216
410872001269,86,9,0,0,95,268
410872001270,346,27,0,0,373,466
410872001271,44,7,0,0,51,199
410872001272,149,24,0,0,173,519
410872001273,182,39,0,0,221,955
410872001274,359,59,0,0,418,701
410872001291,99,16,0,0,115,488
410872001309,151,44,0,0,195,1025
410872001674,142,25,0,0,167,354
410882000219,240,47,0,0,287,435
410882000221,301,27,0,0,328,503
410882000224,253,59,0,0,312,1088
410882000225,276,85,0,0,361,341
410882001751,0,0,0,0,0,1459
410883000008,100,42,0,0,142,473
410883000070,164,37,0,0,201,388
410883000072,158,52,0,0,210,371
410883000076,26,20,0,0,46,148
410883000079,169,27,0,0,196,304
410883000080,323,42,0,0,365,408
410883000081,55,13,0,0,68,153
410883000084,177,37,0,0,214,445
410883000085,182,44,0,0,226,344
410883000086,138,42,0,0,180,602
410883000087,126,32,0,0,158,428
410883000092,373,79,0,0,452,1387
410883000093,266,125,0,0,391,1147
410883000094,481,123,0,0,604,356
410883000095,329,102,0,0,431,470
410883001317,16,3,0,0,19,96
410883001354,73,26,0,0,99,387
410883001379,203,59,0,0,262,1637
410883001483,74,23,0,0,97,599
410883001484,168,22,0,0,190,313
410883001543,0,0,0,0,0,267
410883001544,0,0,0,0,0,120
410883001583,82,14,0,0,96,13
410883001584,119,37,0,0,156,217
410883001658,14,11,0,0,25,96
410883001686,0,0,0,0,0,118
410883001775,58,30,0,0,88,507
410883001777,141,30,0,0,171,583
410883001782,115,64,0,0,179,2108
